Autoencoding models|"See MLM"
Autoregressive models|"See CLM"
CLM|"Causal language modeling, a pretraining task where the model reads the texts in order and has to predict the
next word. It’s usually done by reading the whole sentence but using a mask inside the model to hide the future
tokens at a certain timestep."
MLM|"Masked language modeling, a pretraining task where the model sees a corrupted version of the texts, usually done
by masking some tokens randomly, and has to predict the original text."
Multimodal|"A task that combines texts with another kind of inputs (for instance images)."
NLG|"Natural language generation, all tasks related to generating text ( for instance talk with transformers,
translation)"
NLP|"Natural language processing, a generic way to say “deal with texts”."
NLU|"Natural language understanding, all tasks related to understanding what is in a text (for instance classifying
the whole text, individual words)"
Pretrained model|"A model that has been pretrained on some data (for instance all of Wikipedia). Pretraining methods
involve a self-supervised objective, which can be reading the text and trying to predict the next word (see CLM) or
masking some words and trying to predict them (see MLM)."
RNN|"Recurrent neural network, a type of model that uses a loop over a layer to process texts."
seq2seq or sequence-to-sequence|"Models that generate a new sequence from an input, like translation models, or
summarization models (such as <a class=""reference internal"" href=""model_doc/bart.html""><span class=""doc"">Bart</span></a> or <a class=""reference internal"" href=""model_doc/t5.html""><span class=""doc"">T5</span></a>)."
Token|"A part of a sentence, usually a word, but can also be a subword (non-common words are often split in subwords)
or a punctuation symbol."
Model inputs<a class=""headerlink"" href=""#model-inputs"" title=""Permalink to this headline"">¶</a>|"
<p>Every model is different yet bears similarities with the others. Therefore most models use the same inputs, which are
detailed here alongside usage examples."
